date,headline,source_domain,url,language,social_image,raw_seendate,category,urgency_score,companies_mentioned,countries_mentioned
2024-04-30,Record US drug shortage a positive for Indian pharma companies,businesstoday.in,https://www.businesstoday.in/industry/pharma/story/record-us-drug-shortage-a-positive-for-indian-pharma-companies-427579-2024-04-30,English,https://akm-img-a-in.tosshub.com/businesstoday/images/story/202404/6630895080fef-the-prevailing-situation-in-the-us-pharmaceutical-industry-is-largely-due-to-fractures-in-the-supply-300149449-16x9.jpg,20240430T083000Z,Drug Shortage,4,None,India
2024-04-30,Have you been impacted by a recent or ongoing drug shortage ? We want to talk to you,journal-news.com,https://www.journal-news.com/local/have-you-been-impacted-by-a-recent-or-ongoing-drug-shortage-we-want-to-talk-to-you/4PXAIT5IYFGHJFSNWA7TXIVVFA/,English,https://www.journal-news.com/resizer/A8HrNCTYC-aha6H6ro7Xu6lOUP0=/1200x630/cloudfront-us-east-1.images.arcpublishing.com/coxohio/KFVPARYA4GBAAP5KF76JR627HI.jpg,20240430T150000Z,Drug Shortage,3,None,Global
2024-04-29,"Man , 60 , Dies After He Couldnt Access Chemo Drugs Amid Shortage",today.com,https://www.today.com/health/disease/man-dies-chemo-shortage-stage-4-cancer-rcna149561,English,,20240429T184500Z,Drug Shortage,3,None,Global
2024-04-27,Ohio Residents Still Struggling To Find Insulin Amid Shortage,wbckfm.com,https://wbckfm.com/ixp/689/p/ohio-insulin-shortage-update/,English,https://townsquare.media/site/689/files/2024/04/attachment-Untitled-design-2024-04-26T121655.648.jpg?&q=75&format=natural,20240427T143000Z,Drug Shortage,3,None,Global
2024-04-26,"PharmaLink Inc . and Recall Results , Inc . Announce Strategic Partnership to Enhance Drug Safety and Recall Efficiency",article.wn.com,https://article.wn.com/view/2024/04/26/PharmaLink_Inc_and_Recall_Results_Inc_Announce_Strategic_Par_v/,English,,20240426T180000Z,Product Recall/Quality,3,None,Global
2024-04-26,Essential medicines available but supply chain disruptions causing pockets of shortages : Drap,thenews.com.pk,https://www.thenews.com.pk/print/1182390-essential-medicines-available-but-supply-chain-disruptions-causing-pockets-of-shortages-drap,English,https://www.thenews.com.pk/assets/uploads/akhbar/2024-04-26/l_1182390_050400_updates.jpg,20240426T004500Z,Drug Shortage,3,None,Global
2024-04-26,Pharmacists warn of drug shortage,wgrz.com,https://www.wgrz.com/article/news/health/pharmacists-warn-drug-shortage/71-05498010-5c08-42aa-be7e-72cce111a8b7,English,https://media.wgrz.com/assets/WGRZ/images/58f852e0-33d8-46a0-835f-03866717b6ed/20240426T214715/58f852e0-33d8-46a0-835f-03866717b6ed_1140x641.jpg,20240426T231500Z,Drug Shortage,3,None,Global
2024-04-25,Dr . Reddy recalls 6 lots of PKU drug due to possible potency problems,fiercepharma.com,https://www.fiercepharma.com/manufacturing/dr-reddys-recalls-6-lots-pku-drug-due-possible-potency-problems,English,https://qtxasset.com/quartz/qcloud5/media/image/RECALL.jpg?VersionId=I7Ej.akZkM19zmdkD.wDXtAfTyqRDSle,20240425T151500Z,Product Recall/Quality,3,None,Global
2024-04-25,Patient - Provider Communication Is Key During Chemo Shortage,curetoday.com,https://www.curetoday.com/view/patient-provider-communication-is-key-during-chemo-shortage,English,https://cdn.sanity.io/images/0vv8moc6/curetoday/2c6ada59b0eb78a9ad1e95d509f1f36df8039fde-960x538.png?fit=crop&auto=format,20240425T233000Z,Drug Shortage,4,None,Global
2024-04-24,Punjab faces asthma inhalers shortage,tribune.com.pk,https://tribune.com.pk/story/2463843/punjab-faces-asthma-inhalers-shortage,English,https://i.tribune.com.pk/media/images/Asthma-inhaler1713986920-0/Asthma-inhaler1713986920-0.jpeg,20240424T201500Z,Drug Shortage,3,None,Global
2024-04-24,Recife está entre capitais do país sem estoque de vacina para campanha contra Covid - 19,diariodepernambuco.com.br,https://www.diariodepernambuco.com.br/noticia/vidaurbana/2024/04/recife-esta-entre-capitais-do-pais-sem-estoque-de-vacina-para-campanha.html,Portuguese,https://www.diariodepernambuco.com.br/static/app/noticia_127983242361/2024/04/24/951380/20240424073414597753i.jpg,20240424T151500Z,API/Manufacturing,2,None,Global
2024-04-22,Acute shortage of anti - rabies vaccine in Bharatpur Hospital leaves patients in trouble,myrepublica.nagariknetwork.com,https://myrepublica.nagariknetwork.com/news/acute-shortage-of-anti-rabies-vaccine-in-bharatpur-hospital-leaves-patients-in-trouble/,English,https://myrepublica.nagariknetwork.com/uploads/media/1612078596_duplicatevaccine-1200x560_20210720124610.jpg,20240422T043000Z,Drug Shortage,5,None,Global
2024-04-22,Shortage of TB drugs : Pune to get supply in 3 - 4 days,indianexpress.com,https://indianexpress.com/article/cities/pune/shortage-of-tb-drugs-pune-to-get-supply-in-3-4-days-9285055/,English,https://images.indianexpress.com/2024/04/TB_12de35.jpg,20240422T184500Z,Drug Shortage,3,None,Global
2024-04-22,Reimbursement limited for popular diabetes medication - China Daily » Capital News,capitalfm.co.ke,https://www.capitalfm.co.ke/news/2024/04/reimbursement-limited-for-popular-diabetes-medication-china-daily/,English,https://www.capitalfm.co.ke/news/files/2024/04/China-Med-999x576.jpeg,20240422T143000Z,API/Manufacturing,2,None,China
2024-04-21,Drug shortages plague patients . There a solution - Washington Examiner,washingtonexaminer.com,https://www.washingtonexaminer.com/opinion/2972919/drug-shortages-plague-patients-theres-a-solution/,English,https://wex-s3.s3.us-east-1.amazonaws.com/wp-content/uploads/2024/04/AP24096562283737-scaled.jpg,20240421T110000Z,Drug Shortage,4,None,Global
