supplier_id,company_name,country,city,product_category,unit,current_stock,max_capacity_monthly,unit_price_inr,lead_time_days,minimum_order_quantity,cold_chain_capable,temperature_range,quality_certifications,cdsco_approved,gmp_certified,reliability_score,on_time_delivery_rate,api_purity,batch_release_time,payment_terms,credit_rating,political_risk,contact_email,phone,business_hours,emergency_supply_available,contract_manufacturing,regulatory_filing_support
PHARM-0001,"Valentine, Duffy and Williams Life Sciences",India,East Sandra,Finished Antibiotics,units,336040,812035,13.93,4,1000,False,15-25°C,CDSCO Approved,True,False,98.8,76.8,N/A,N/A,Net 30,AA,High,phillip82@silva.com,653.886.1021,9 AM - 6 PM IST,True,True,False
PHARM-0002,"Moore, Navarro and Johnson Life Sciences",France,Julieport,Generic Essential Drugs,units,92271,215248,7.66,30,500,False,15-25°C,TGA Australia,True,False,70.9,91.5,N/A,N/A,Net 60,AA,Medium,ethanshields@carlson.com,626.352.9599x124,24/7 (international),False,False,False
PHARM-0003,Arnold and Sons Pharma,Vietnam,Clarkmouth,Respiratory Medicines,units,274751,703122,158.52,18,500,False,15-25°C,EU-GMP,True,True,83.2,92.1,N/A,N/A,Advance payment,BB,High,thomas12@alexander-dalton.com,515-776-3390,24/7 (international),False,False,True
PHARM-0004,Campbell Ltd Laboratories,India,Francoton,Respiratory Medicines,units,238805,613381,67.51,7,10000,True,2-8°C,"TGA Australia, WHO-GMP",False,False,93.4,77.1,N/A,N/A,Net 30,BB,Medium,elizabethbarnett@gutierrez.com,372-789-9717x10231,9 AM - 6 PM IST,True,False,False
PHARM-0005,Clarke-Mcdonald Pharma,India,Howardburgh,Vaccines,doses,3243,5413,381.18,5,1000,True,2-8°C,ISO 13485,True,True,85.7,91.4,N/A,N/A,Net 45,AA,Medium,sarah12@anderson-yang.biz,(301)707-2744x0430,9 AM - 6 PM IST,True,False,True
PHARM-0006,Castillo and Sons Pharma,China,Lake Amandamouth,Finished Antibiotics,units,313525,615010,29.11,30,1000,True,2-8°C,"CDSCO Approved, TGA Australia",True,True,89.8,84.0,N/A,N/A,Advance payment,BBB,Medium,buckkenneth@luna-reid.biz,248-770-4428,24/7 (international),True,False,True
PHARM-0007,Walker-Johnson Healthcare,Ireland,Mejiaburgh,Oncology Drugs,doses,7442,20426,36743.42,32,500,False,15-25°C,WHO-GMP,True,True,86.7,97.7,N/A,N/A,Net 60,AA,High,katherine21@bell-riley.com,+1-961-380-5468x027,24/7 (international),False,False,True
PHARM-0008,Sanford-Zimmerman Healthcare,India,Port Morgan,Vaccines,doses,1040,2181,196.56,7,500,True,2-8°C,"US-FDA Approved, CDSCO Approved",True,False,72.6,82.3,N/A,N/A,Net 60,AA,Low,michael66@simmons.org,636.749.0952,9 AM - 6 PM IST,False,False,False
PHARM-0009,Murray Inc Biotech,France,Flowershaven,Finished Cardiac Drugs,units,168358,326464,46.16,43,500,True,2-8°C,"ISO 13485, MHRA UK",True,False,84.0,94.2,N/A,N/A,LC at sight,BB,High,bobby99@jordan.org,(485)467-0719x3966,24/7 (international),True,True,True
PHARM-0010,"Cantrell, Delgado and Weaver Life Sciences",South Korea,Mariachester,Finished Diabetes Medications,units,147030,331226,649.28,26,10000,True,2-8°C,EU-GMP,True,True,93.0,93.2,N/A,N/A,Net 45,AAA,Low,roberthill@mills.com,(558)912-5064,24/7 (international),False,True,False
PHARM-0011,Wilson-Williams Biotech,India,Lucasburgh,Finished Cardiac Drugs,units,437534,1062611,93.57,6,10000,False,15-25°C,CDSCO Approved,False,True,81.2,88.5,N/A,N/A,LC at sight,AAA,High,yochoa@macdonald.biz,+1-654-352-2809x1138,9 AM - 6 PM IST,True,True,True
PHARM-0012,Hayden PLC Biotech,South Korea,North John,Finished Diabetes Medications,units,420945,634268,645.74,25,10000,False,15-25°C,MHRA UK,True,True,84.2,86.2,N/A,N/A,Net 45,AA,Low,melissamahoney@little.com,956-679-3112x93372,24/7 (international),True,True,True
